Dimension,Geometry,Filament
0.009,25.00000,Glass Fiber
0.054,25.00000,Glass Fiber
0.006,25.00000,Glass Fiber
0.063,25.00000,Glass Fiber
0.051,25.00000,Glass Fiber
0.043,25.00000,Glass Fiber
0.168,25.00000,Glass Fiber
0.116,25.00000,Glass Fiber
0.03200,25.00000,Glass Fiber
0.02700,25.00000,Glass Fiber
0.03200,25.00000,Glass Fiber
0.02900,25.00000,Glass Fiber
0.089,25.00000,Glass Fiber
0.066,25.00000,Glass Fiber
0.0145,25.00000,Glass Fiber
0.075,25.00000,Glass Fiber
0.038,20.00000,Glass Fiber
0.011,20.00000,Glass Fiber
0.025,20.00000,Glass Fiber
0.06,20.00000,Glass Fiber
0.024,20.00000,Glass Fiber
0.015,20.00000,Glass Fiber
0.014,20.00000,Glass Fiber
0.087,20.00000,Glass Fiber
0.01700,20.00000,Glass Fiber
0.00900,20.00000,Glass Fiber
0.04900,20.00000,Glass Fiber
0.04500,20.00000,Glass Fiber
0.02800,20.00000,Glass Fiber
0.08700,20.00000,Glass Fiber
0.01700,20.00000,Glass Fiber
0.00700,20.00000,Glass Fiber
0.02800,15.00000,Glass Fiber
0.06400,15.00000,Glass Fiber
0.03000,15.00000,Glass Fiber
0.03300,15.00000,Glass Fiber
0.01900,15.00000,Glass Fiber
0.03700,15.00000,Glass Fiber
0.02500,15.00000,Glass Fiber
0.05400,15.00000,Glass Fiber
0.05700,15.00000,Glass Fiber
0.03900,15.00000,Glass Fiber
0.07900,15.00000,Glass Fiber
0.07400,15.00000,Glass Fiber
0.03800,15.00000,Glass Fiber
0.04100,15.00000,Glass Fiber
0.05500,15.00000,Glass Fiber
0.02300,15.00000,Glass Fiber
0.056,10.00000,Glass Fiber
0.039,10.00000,Glass Fiber
0.057,10.00000,Glass Fiber
0.068,10.00000,Glass Fiber
0.075,10.00000,Glass Fiber
0.057,10.00000,Glass Fiber
0.037,10.00000,Glass Fiber
0.062,10.00000,Glass Fiber
0.073,10.00000,Glass Fiber
0.049,10.00000,Glass Fiber
0.072,10.00000,Glass Fiber
0.063,10.00000,Glass Fiber
0.022,10.00000,Glass Fiber
0.024,10.00000,Glass Fiber
0.023,10.00000,Glass Fiber
0.013,10.00000,Glass Fiber
0.015,12.50000,Glass Fiber
0.027,12.50000,Glass Fiber
0.016,12.50000,Glass Fiber
0.03,12.50000,Glass Fiber
0.049,12.50000,Glass Fiber
0.079,12.50000,Glass Fiber
0.018,12.50000,Glass Fiber
0.021,12.50000,Glass Fiber
0.051,12.50000,Glass Fiber
0.043,12.50000,Glass Fiber
0.029,12.50000,Glass Fiber
0.079,12.50000,Glass Fiber
0.057,12.50000,Glass Fiber
0.0379,12.50000,Glass Fiber
0.015,12.50000,Glass Fiber
0.041,12.50000,Glass Fiber
0.05,10.00000,Glass Fiber
0.086,10.00000,Glass Fiber
0.039,10.00000,Glass Fiber
0.09,10.00000,Glass Fiber
0.013,10.00000,Glass Fiber
0.024,10.00000,Glass Fiber
0.062,10.00000,Glass Fiber
0.053,10.00000,Glass Fiber
0.052,10.00000,Glass Fiber
0.056,10.00000,Glass Fiber
0.037,10.00000,Glass Fiber
0.048,10.00000,Glass Fiber
0.063,10.00000,Glass Fiber
0.078,10.00000,Glass Fiber
0.065,10.00000,Glass Fiber
0.082,10.00000,Glass Fiber
0.105,7.5,Glass Fiber
0.057,7.5,Glass Fiber
0.081,7.5,Glass Fiber
0.089,7.5,Glass Fiber
0.043,7.5,Glass Fiber
0.068,7.5,Glass Fiber
0.155,7.5,Glass Fiber
0.036,7.5,Glass Fiber
0.111,7.5,Glass Fiber
0.095,7.5,Glass Fiber
0.066,7.5,Glass Fiber
0.088,7.5,Glass Fiber
0.072,7.5,Glass Fiber
0.057,7.5,Glass Fiber
0.047,7.5,Glass Fiber
0.039,7.5,Glass Fiber
0.113,5,Glass Fiber
0.076,5,Glass Fiber
0.077,5,Glass Fiber
0.08,5,Glass Fiber
0.055,5,Glass Fiber
0.075,5,Glass Fiber
0.03,5,Glass Fiber
0.061,5,Glass Fiber
0.093,5,Glass Fiber
0.075,5,Glass Fiber
0.084,5,Glass Fiber
0.093,5,Glass Fiber
0.061,5,Glass Fiber
0.052,5,Glass Fiber
0.044,5,Glass Fiber
0.054,5,Glass Fiber
0.095,25,Carbon Fiber
0.134,25,Carbon Fiber
0.131,25,Carbon Fiber
0.136,25,Carbon Fiber
0.151,25,Carbon Fiber
0.216,25,Carbon Fiber
0.163,25,Carbon Fiber
0.164,25,Carbon Fiber
0.109,25,Carbon Fiber
0.096,25,Carbon Fiber
0.117,25,Carbon Fiber
0.057,25,Carbon Fiber
0.183,25,Carbon Fiber
0.146,25,Carbon Fiber
0.208,25,Carbon Fiber
0.176,25,Carbon Fiber
0.083,20,Carbon Fiber
0.09,20,Carbon Fiber
0.108,20,Carbon Fiber
0.075,20,Carbon Fiber
0.116,20,Carbon Fiber
0.14,20,Carbon Fiber
0.091,20,Carbon Fiber
0.152,20,Carbon Fiber
0.065,20,Carbon Fiber
0.077,20,Carbon Fiber
0.079,20,Carbon Fiber
0.073,20,Carbon Fiber
0.159,20,Carbon Fiber
0.203,20,Carbon Fiber
0.131,20,Carbon Fiber
0.173,20,Carbon Fiber
0.073,15,Carbon Fiber
0.083,15,Carbon Fiber
0.079,15,Carbon Fiber
0.059,15,Carbon Fiber
0.149,15,Carbon Fiber
0.082,15,Carbon Fiber
0.144,15,Carbon Fiber
0.117,15,Carbon Fiber
0.048,15,Carbon Fiber
0.053,15,Carbon Fiber
0.047,15,Carbon Fiber
0.071,15,Carbon Fiber
0.123,15,Carbon Fiber
0.129,15,Carbon Fiber
0.134,15,Carbon Fiber
0.145,15,Carbon Fiber
0.052,10,Carbon Fiber
0.059,10,Carbon Fiber
0.054,10,Carbon Fiber
0.06,10,Carbon Fiber
0.082,10,Carbon Fiber
0.095,10,Carbon Fiber
0.069,10,Carbon Fiber
0.071,10,Carbon Fiber
0.065,10,Carbon Fiber
0.049,10,Carbon Fiber
0.056,10,Carbon Fiber
0.065,10,Carbon Fiber
0.054,10,Carbon Fiber
0.059,10,Carbon Fiber
0.093,10,Carbon Fiber
0.097,10,Carbon Fiber
0.073,12.5,Carbon Fiber
0.018,12.5,Carbon Fiber
0.046,12.5,Carbon Fiber
0.045,12.5,Carbon Fiber
0.096,12.5,Carbon Fiber
0.069,12.5,Carbon Fiber
0.06,12.5,Carbon Fiber
0.047,12.5,Carbon Fiber
0.05,12.5,Carbon Fiber
0.025,12.5,Carbon Fiber
0.042,12.5,Carbon Fiber
0.096,12.5,Carbon Fiber
0.056,12.5,Carbon Fiber
0.079,12.5,Carbon Fiber
0.067,12.5,Carbon Fiber
0.036,12.5,Carbon Fiber
0.051,10,Carbon Fiber
0.036,10,Carbon Fiber
0.052,10,Carbon Fiber
0.062,10,Carbon Fiber
0.079,10,Carbon Fiber
0.084,10,Carbon Fiber
0.083,10,Carbon Fiber
0.096,10,Carbon Fiber
